LocationID,SessionID,GroupID,RecordID,Language,Lockdown,start_time,end_time,latitude,longitude,Traffic,Other,Human,Natural,ISOPleasant,ISOEventful,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,Overall,Appropriate,loud,sss04,sss05,who01,who02,who03,who04,who05,WHO_Sum,Age,Gender,occ00___Employed,occ00___Unemployed,occ00___Retired,occ00___Student,occ00___Other,occ00___RatherNotSay,occ00_other,Occupation,edu00,eth00,eth00_other,misc00,misc03,misc03_other,misc04,misc01,use00,uni00,res00___1,res00___2,res00___3,res00___4,res00___5,res02,paper,RecordingLength,Loudness_N5(soneGF),N10_N90(soneGF),Sharpness_S(acum),Rough_HM_R(asper),"Rough_HM_Avg,arith(asper)","FS_Avg,arith(vacil)","I_HM_Avg,arith(iu)","Ton_HM_Avg,arith(tuHMS)",LZeq_L(dB(SPL)),LAeq_L(A)(dB(SPL)),LA10_LA90(dB(SPL)),LCeq_LAeq(dB(SPL)),LC10_LC90(dB(SPL)),RA_2D_cp(cPa),PA(Zwicker)
SanMarco,SanMarco3,SM308,64,Italian,0,03/03/2019 15:38,03/03/2019 15:48,45.433663,12.339658,3,2,5,2,-0.0303,0.5732,2,4,4,2,2,3,4,1,3,4,4,3,4,3,1,3,1,3,44,,Female,0,0,0,1,0,0,,Student,3,1,,"Alma Mater Studiorum, Universitat di Bologna",,,,,1,3,1,1,0,0,0,,1,40.58,31.9,6.6,2.12,0.0451,0.0451,0.0229,0.371,0.336,76.51,72.67,4.84,3.67,3.76,15,36.72809242
SanMarco,SanMarco3,SM308,65,Italian,0,03/03/2019 15:34,03/03/2019 15:44,45.433663,12.339658,1,4,5,2,-0.1464,0.6036,3,4,2,1,1,3,4,1,3,3,4,1,3,4,1,2,0,4,44,,Female,0,0,0,1,0,0,,Student,3,1,,Universita Politecnica delle Marche,,,,No,1,3,1,1,0,0,0,,1,40.58,31.9,6.6,2.12,0.0451,0.0451,0.0229,0.371,0.336,76.51,72.67,4.84,3.67,3.76,15,36.72809242
SanMarco,SanMarco3,SM309,109,English,0,03/03/2019 15:44,03/03/2019 15:54,45.433663,12.339658,2,1,5,1,0.0303,0.7803,2,4,3,1,1,1,5,1,2,4,4,1,3,3,3,2,4,3,60,,RatherNotSay,1,0,0,0,0,0,,Employed,2,1,,,2,,,,2,2,1,1,0,0,0,,1,34.52,33.5,7.8,2.28,0.046,0.046,0.0319,0.407,0.444,75.85,73.7,5.19,2.05,4.2,14,40.8087417
SanMarco,SanMarco3,SM309,66,Italian,0,03/03/2019 15:44,03/03/2019 15:54,45.433663,12.339658,1,1,5,2,-0.1339,0.5732,2,4,4,2,2,4,4,1,3,4,3,1,2,2,2,3,1,4,48,,Male,1,0,0,0,0,0,,Employed,2,1,,,,,,,2,2,1,1,0,0,0,,1,34.52,33.5,7.8,2.28,0.046,0.046,0.0319,0.407,0.444,75.85,73.7,5.19,2.05,4.2,14,40.8087417
SanMarco,SanMarco3,SM310,67,Italian,0,03/03/2019 15:50,03/03/2019 16:00,45.433663,12.339658,2,1,5,3,-0.3536,0.3358,3,5,3,3,1,5,2,1,2,4,5,1,5,5,4,3,5,5,88,,Male,1,0,0,0,0,0,,Employed,3,1,,,,,,,1,3,1,1,0,0,0,,1,34.52,32.9,8.5,2.14,0.0466,0.0466,0.0237,0.365,0.356,76.09,73.08,6.24,2.88,5.31,14,38.17843404
SanMarco,SanMarco3,SM310,68,Italian,0,03/03/2019 15:50,03/03/2019 16:00,45.433663,12.339658,1,2,4,2,-0.1464,0.1464,4,5,4,4,3,4,4,4,4,4,4,1,3,5,1,4,2,3,60,,Female,1,0,0,0,0,0,,Employed,1,1,,Universita degli Studi di Salerno,,,,"no, affatto",1,3,1,1,0,0,0,,1,34.52,32.9,8.5,2.14,0.0466,0.0466,0.0237,0.365,0.356,76.09,73.08,6.24,2.88,5.31,14,38.17843404
SanMarco,SanMarco3,SM311,69,Italian,0,03/03/2019 16:04,03/03/2019 16:14,45.433663,12.339658,1,3,5,3,0.5,-0.1036,4,2,4,4,4,2,3,2,4,4,2,4,4,0,3,3,2,2,40,,Male,1,0,0,0,0,0,,Employed,1,1,,,,,,,1,1,0,1,0,1,0,,1,33.15,34,8.8,2.21,0.0456,0.0456,0.0365,0.389,0.456,76.25,73.71,6.54,2.38,5.16,14.5,40.47055683
SanMarco,SanMarco3,SM312,70,Italian,0,03/03/2019 16:12,03/03/2019 16:22,45.433663,12.339658,1,1,5,1,0.5732,0.1768,3,2,4,3,4,1,4,1,4,5,2,2,5,5,4,0,0,0,36,,Female,1,0,0,0,0,0,,Employed,4,1,,,,,,,3,3,0,1,0,1,0,,1,34.35,30.8,6.1,2.16,0.0461,0.0461,0.0223,0.365,0.39,75.57,72.56,4.38,2.83,3.1,13.6,35.92293699
SanMarco,SanMarco3,SM313,71,Italian,0,03/03/2019 16:24,03/03/2019 16:34,45.433663,12.339658,2,4,4,1,-0.3536,0.2929,2,4,3,2,1,4,2,2,3,4,4,2,3,4,4,2,2,4,64,,Male,1,0,0,0,0,0,,Employed,2,1,,,,,,,3,2,0,1,0,1,0,,1,35.88,33.4,8.9,2.21,0.0494,0.0494,0.0251,0.37,0.448,76.13,73.69,5.81,2.3,4.81,13.7,39.72954854
SanMarco,SanMarco3,SM313,116,English,0,03/03/2019 16:24,03/03/2019 16:34,45.433663,12.339658,1,2,4,1,0.2803,0.4697,4,4,4,2,2,2,3,1,4,5,3,1,3,4,3,3,3,4,68,,Female,1,0,0,0,0,0,,Employed,2,1,,,2,,,,3,2,0,1,0,1,0,,1,35.88,33.4,8.9,2.21,0.0494,0.0494,0.0251,0.37,0.448,76.13,73.69,5.81,2.3,4.81,13.7,39.72954854
SanMarco,SanMarco3,SM314,120,English,0,03/03/2019 16:35,03/03/2019 16:45,45.433663,12.339658,1,1,5,2,0.5607,0.8536,5,4,5,1,2,1,5,1,5,5,3,1,4,5,4,4,2,5,80,,Male,0,0,0,1,0,0,,Student,4,1,,"University of Leicester, UKErasmus, University of Bari, IT",3,Erasmus Student,,Nah,2,3,0,1,0,1,0,,1,32.47,45.2,17.5,2.38,0.0787,0.0787,0.0825,0.455,0.515,79.3,77.25,9.49,1.93,7.83,17.4,57.71973802
SanMarco,SanMarco3,SM314,121,English,0,03/03/2019 16:35,03/03/2019 16:45,45.433663,12.339658,1,2,5,2,0.5,0.2678,5,1,2,1,4,3,5,1,4,4,4,1,5,4,1,5,0,4,56,,Female,0,0,0,1,0,0,,Student,4,1,,Anatolia University,2,,,,2,3,0,1,0,1,0,,1,32.47,45.2,17.5,2.38,0.0787,0.0787,0.0825,0.455,0.515,79.3,77.25,9.49,1.93,7.83,17.4,57.71973802
SanMarco,SanMarco3,SM314,119,English,0,03/03/2019 16:35,03/03/2019 16:45,45.433663,12.339658,1,4,5,2,0.1339,0.5303,3,3,2,2,1,1,5,1,4,4,3,1,4,5,4,5,1,5,80,,Female,0,0,0,1,0,0,,Student,4,1,,Dimocritus University of Turace,2,,,,2,3,0,1,0,1,0,,1,32.47,45.2,17.5,2.38,0.0787,0.0787,0.0825,0.455,0.515,79.3,77.25,9.49,1.93,7.83,17.4,57.71973802
SanMarco,SanMarco3,SM314,117,English,0,03/03/2019 16:35,03/03/2019 16:45,45.433663,12.339658,1,1,4,3,0.0303,0.3661,4,5,4,4,2,3,4,2,4,4,4,1,3,4,4,4,3,4,76,,Male,0,0,0,1,0,0,,Student,2,1,,Universita di Bari,2,,,,2,3,0,1,0,1,0,,1,32.47,45.2,17.5,2.38,0.0787,0.0787,0.0825,0.455,0.515,79.3,77.25,9.49,1.93,7.83,17.4,57.71973802
SanMarco,SanMarco3,SM314,118,English,0,03/03/2019 16:35,03/03/2019 16:45,45.433663,12.339658,2,2,4,4,0.1893,0.1036,3,2,4,3,4,4,4,2,3,4,3,1,3,1,2,4,3,2,48,,Female,0,0,0,1,0,0,,Student,4,1,,Faculdade di Arquitecture da Universidade di Lisbos,2,,,,2,3,0,1,0,1,0,,1,32.47,45.2,17.5,2.38,0.0787,0.0787,0.0825,0.455,0.515,79.3,77.25,9.49,1.93,7.83,17.4,57.71973802
